1;arms_factory;2945.00;11.82;1367.00;1.19;0
1;arms_factory;2945.00;12.03;1368.00;3.86;0
1;arms_factory;2950.00;12.00;1360.00;1.70;0
1;arms_factory;2948.00;12.05;1362.00;2.91;0
1;arms_factory;2950.00;12.30;1363.00;5.93;0
1;arms_factory;2950.00;10.10;1355.00;2.31;0
1;industrial_complex;2950.00;10.10;1355.00;4.97;0
1;industrial_complex;2952.00;11.07;1369.00;0.25;0
1;industrial_complex;2949.00;13.23;1367.00;4.37;0
1;industrial_complex;2942.00;10.03;1368.00;5.58;0
1;industrial_complex;2946.00;10.32;1361.00;3.42;0
1;industrial_complex;2946.00;10.32;1361.00;0.15;0
1;air_base;2946.00;11.10;1363.00;2.81;0
1;naval_base;2949.00;9.50;1352.00;-0.79;5579
1;naval_base;2955.00;9.50;1364.00;0.98;5579
1;naval_base;2944.00;10.25;1371.00;-2.60;5555
1;bunker;2950.00;11.20;1370.00;6.09;0
1;bunker;2943.00;10.73;1369.00;3.93;0
1;bunker;2950.00;12.05;1361.00;0.31;0
1;coastal_bunker;2944.00;9.50;1356.00;-0.79;0
1;coastal_bunker;2953.00;9.50;1378.00;-3.00;0
1;coastal_bunker;2942.00;9.50;1371.00;-2.60;0
1;dockyard;2945.00;9.50;1356.00;-0.79;0
1;anti_air_building;2945.00;9.60;1357.00;0.31;0
1;anti_air_building;2953.00;10.45;1369.00;4.44;0
1;anti_air_building;2942.00;10.15;1369.00;5.64;0
1;synthetic_refinery;2942.00;10.15;1369.00;2.38;0
1;fuel_silo;2946.00;10.32;1361.00;5.05;0
1;radar_station;2940.00;9.50;1360.00;4.81;0
1;rocket_site;2947.00;12.38;1364.00;4.09;0
1;nuclear_reactor;2949.00;10.53;1356.00;0.82;0
2;arms_factory;3015.00;11.85;1358.00;1.70;0
2;arms_factory;3022.00;11.53;1355.00;2.91;0
2;arms_factory;2996.00;10.98;1372.00;5.93;0
2;arms_factory;3003.00;9.73;1358.00;2.31;0
2;arms_factory;2992.00;10.23;1370.00;4.97;0
2;arms_factory;3007.00;9.60;1352.00;0.25;0
2;industrial_complex;3014.00;12.70;1364.00;4.37;0
2;industrial_complex;3009.00;9.57;1350.00;5.58;0
2;industrial_complex;2998.00;10.65;1372.00;3.42;0
2;industrial_complex;3020.00;10.88;1354.00;0.15;0
2;industrial_complex;3006.00;11.18;1369.00;2.81;0
